algorithm,config_index,seed,params,validation_mrr,threshold,fit_seconds,status
stat_mad,0,42,{'context_weight': 0.0},1.0,11.4321658257577,6.949999988137279e-05,SUCCESS
stat_mad,0,123,{'context_weight': 0.0},1.0,11.4321658257577,8.849999994708924e-05,SUCCESS
stat_mad,0,2026,{'context_weight': 0.0},1.0,11.4321658257577,7.780000032653334e-05,SUCCESS
stat_mad,1,42,{'context_weight': 0.3},1.0,13.377715803069442,0.0004604999999173742,SUCCESS
stat_mad,1,123,{'context_weight': 0.3},1.0,13.377715803069442,0.00044210000032762764,SUCCESS
stat_mad,1,2026,{'context_weight': 0.3},1.0,13.377715803069442,5.760000021837186e-05,SUCCESS
stat_ewma,0,42,{'context_weight': 0.0},1.0,8.98573367429267,5.8600000102160266e-05,SUCCESS
stat_ewma,0,123,{'context_weight': 0.0},1.0,8.98573367429267,7.49000000723754e-05,SUCCESS
stat_ewma,0,2026,{'context_weight': 0.0},1.0,8.98573367429267,5.03999999637017e-05,SUCCESS
stat_ewma,1,42,{'context_weight': 0.3},1.0,11.093198091740616,4.9900000249181176e-05,SUCCESS
stat_ewma,1,123,{'context_weight': 0.3},1.0,11.093198091740616,0.00011770000037358841,SUCCESS
stat_ewma,1,2026,{'context_weight': 0.3},1.0,11.093198091740616,9.329999966212199e-05,SUCCESS
ml_logistic,0,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.7784902070815217,0.15386279999984254,SUCCESS
ml_logistic,0,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.9037792514138764,0.13589289999981702,SUCCESS
ml_logistic,0,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.8829040425180184,0.1250489000003654,SUCCESS
ml_logistic,1,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.7468071206243271,0.14949680000017906,SUCCESS
ml_logistic,1,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.8049454578306192,0.10350460000017847,SUCCESS
ml_logistic,1,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.8169393831988443,0.1331626999999571,SUCCESS
ml_pca,0,42,{'components': 2},1.0,40.133294462926116,0.0028025999999954365,SUCCESS
ml_pca,0,123,{'components': 2},1.0,40.133294462926116,0.0007015000001047156,SUCCESS
ml_pca,0,2026,{'components': 2},1.0,40.133294462926116,0.0005479000001287204,SUCCESS
ml_pca,1,42,{'components': 4},0.7857142857142857,4.693003122272028,0.0005479999999806751,SUCCESS
ml_pca,1,123,{'components': 4},0.7857142857142857,4.693003122272028,0.00042540000004009926,SUCCESS
ml_pca,1,2026,{'components': 4},0.7857142857142857,4.693003122272028,0.00041229999987990595,SUCCESS
dl_mlp,0,42,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9734134007100258,0.2029287000000295,SUCCESS
dl_mlp,0,123,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9855952049099318,0.23420050000004267,SUCCESS
dl_mlp,0,2026,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9814847693136519,0.25035129999969286,SUCCESS
dl_mlp,1,42,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9279493410501293,0.26380399999970905,SUCCESS
dl_mlp,1,123,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9077622022102371,0.25322159999996074,SUCCESS
dl_mlp,1,2026,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9168425042115679,0.23089570000001913,SUCCESS
dl_autoencoder,0,42,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.8928571428571429,88.50532235211753,0.2197729000004074,SUCCESS
dl_autoencoder,0,123,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,89.90538998733994,0.23018169999977545,SUCCESS
dl_autoencoder,0,2026,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,84.56363519526411,0.22812419999991107,SUCCESS
dl_autoencoder,1,42,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,83.32659551047323,0.25321160000021337,SUCCESS
dl_autoencoder,1,123,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,85.12833514326174,0.2425149999999121,SUCCESS
dl_autoencoder,1,2026,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,84.74365128607005,0.23405700000012075,SUCCESS
