algorithm,config_index,seed,params,validation_mrr,threshold,fit_seconds,status
stat_mad,0,42,{'context_weight': 0.0},1.0,4.08351893845611,4.060000037497957e-05,SUCCESS
stat_mad,0,123,{'context_weight': 0.0},1.0,4.08351893845611,4.979999994247919e-05,SUCCESS
stat_mad,0,2026,{'context_weight': 0.0},1.0,4.08351893845611,4.200000012133387e-05,SUCCESS
stat_mad,1,42,{'context_weight': 0.3},1.0,4.08351893845611,2.5300000288552837e-05,SUCCESS
stat_mad,1,123,{'context_weight': 0.3},1.0,4.08351893845611,4.1199999941454735e-05,SUCCESS
stat_mad,1,2026,{'context_weight': 0.3},1.0,4.08351893845611,3.5799999750452116e-05,SUCCESS
stat_ewma,0,42,{'context_weight': 0.0},1.0,4.08351893845611,6.290000010267249e-05,SUCCESS
stat_ewma,0,123,{'context_weight': 0.0},1.0,4.08351893845611,4.9500000386615284e-05,SUCCESS
stat_ewma,0,2026,{'context_weight': 0.0},1.0,4.08351893845611,5.2800000048591755e-05,SUCCESS
stat_ewma,1,42,{'context_weight': 0.3},1.0,4.08351893845611,2.629999971759389e-05,SUCCESS
stat_ewma,1,123,{'context_weight': 0.3},1.0,4.08351893845611,4.4099999740865314e-05,SUCCESS
stat_ewma,1,2026,{'context_weight': 0.3},1.0,4.08351893845611,3.670000023703324e-05,SUCCESS
ml_logistic,0,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.8289655288236696,0.0941913999999997,SUCCESS
ml_logistic,0,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.7635812479980704,0.09540590000005977,SUCCESS
ml_logistic,0,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.7490011298277164,0.10370879999982208,SUCCESS
ml_logistic,1,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.7688379816500426,0.09913559999995414,SUCCESS
ml_logistic,1,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.7263629501343433,0.1049460000003819,SUCCESS
ml_logistic,1,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.7134874355818606,0.09295909999991636,SUCCESS
ml_pca,0,42,{'components': 2},1.0,1.1547126633163691,0.0003758000002562767,SUCCESS
ml_pca,0,123,{'components': 2},1.0,1.1547126633163691,0.0003229000003557303,SUCCESS
ml_pca,0,2026,{'components': 2},1.0,1.1547126633163691,0.00033589999975447427,SUCCESS
ml_pca,1,42,{'components': 4},0.9285714285714286,7.346267179870672e-30,0.0005375999999159831,SUCCESS
ml_pca,1,123,{'components': 4},0.9285714285714286,7.346267179870672e-30,0.00042020000000775326,SUCCESS
ml_pca,1,2026,{'components': 4},0.9285714285714286,7.346267179870672e-30,0.0009128000001510372,SUCCESS
dl_mlp,0,42,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9320231349488752,0.1939369000001534,SUCCESS
dl_mlp,0,123,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9572391064040435,0.1975284999998621,SUCCESS
dl_mlp,0,2026,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9516120070600295,0.2505636000000777,SUCCESS
dl_mlp,1,42,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9281333347222575,0.24404099999992468,SUCCESS
dl_mlp,1,123,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9289543078820164,0.24181429999998727,SUCCESS
dl_mlp,1,2026,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9248063915717266,0.23221879999982775,SUCCESS
dl_autoencoder,0,42,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",1.0,4.044929555448081,0.21834920000037528,SUCCESS
dl_autoencoder,0,123,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",1.0,3.9720925531026516,0.2406330000003436,SUCCESS
dl_autoencoder,0,2026,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",1.0,4.844765112893228,0.19928650000019843,SUCCESS
dl_autoencoder,1,42,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",1.0,3.981931352065355,0.2125354999998308,SUCCESS
dl_autoencoder,1,123,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",1.0,4.054736741703727,0.2228144999999131,SUCCESS
dl_autoencoder,1,2026,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",1.0,3.7772042424270236,0.20527900000024601,SUCCESS
