algorithm,config_index,seed,params,validation_mrr,threshold,fit_seconds,status
stat_mad,0,42,{'context_weight': 0.0},0.7857142857142857,7.360489272188426,6.050000001778244e-05,SUCCESS
stat_mad,0,123,{'context_weight': 0.0},0.7857142857142857,7.360489272188426,4.780000017490238e-05,SUCCESS
stat_mad,0,2026,{'context_weight': 0.0},0.7857142857142857,7.360489272188426,4.889999991064542e-05,SUCCESS
stat_mad,1,42,{'context_weight': 0.3},0.7857142857142857,7.360489272188426,2.5800000003073364e-05,SUCCESS
stat_mad,1,123,{'context_weight': 0.3},0.7857142857142857,7.360489272188426,4.269999999451102e-05,SUCCESS
stat_mad,1,2026,{'context_weight': 0.3},0.7857142857142857,7.360489272188426,4.2499999835854396e-05,SUCCESS
stat_ewma,0,42,{'context_weight': 0.0},0.8571428571428571,5.777682622821143,5.6800000038492726e-05,SUCCESS
stat_ewma,0,123,{'context_weight': 0.0},0.8571428571428571,5.777682622821143,4.11000000895001e-05,SUCCESS
stat_ewma,0,2026,{'context_weight': 0.0},0.8571428571428571,5.777682622821143,4.0500000068277586e-05,SUCCESS
stat_ewma,1,42,{'context_weight': 0.3},0.8571428571428571,5.777682622821143,3.100000003541936e-05,SUCCESS
stat_ewma,1,123,{'context_weight': 0.3},0.8571428571428571,5.777682622821143,4.600000011123484e-05,SUCCESS
stat_ewma,1,2026,{'context_weight': 0.3},0.8571428571428571,5.777682622821143,4.5700000100623583e-05,SUCCESS
ml_logistic,0,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",0.8571428571428571,0.6367540338468407,0.10191070000018954,SUCCESS
ml_logistic,0,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",0.9285714285714286,0.6673850607585332,0.10350520000019969,SUCCESS
ml_logistic,0,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",0.9285714285714286,0.6514991799657568,0.1274634999999762,SUCCESS
ml_logistic,1,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",0.8928571428571429,0.6185217981300516,0.13484509999989314,SUCCESS
ml_logistic,1,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",0.8928571428571429,0.6319037779800447,0.09472299999970346,SUCCESS
ml_logistic,1,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",0.9285714285714286,0.6341347372966885,0.10465739999972357,SUCCESS
ml_pca,0,42,{'components': 2},0.6660714285714285,1.3555978675857763,0.000651699999707489,SUCCESS
ml_pca,0,123,{'components': 2},0.6660714285714285,1.3555978675857763,0.0002812000002450077,SUCCESS
ml_pca,0,2026,{'components': 2},0.6660714285714285,1.3555978675857763,0.0003077000001212582,SUCCESS
ml_pca,1,42,{'components': 4},0.75,3.391370039071501e-30,0.0002678000000742031,SUCCESS
ml_pca,1,123,{'components': 4},0.75,3.391370039071501e-30,0.0002668000001904147,SUCCESS
ml_pca,1,2026,{'components': 4},0.75,3.391370039071501e-30,0.0003787999999076419,SUCCESS
dl_mlp,0,42,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.7089077656035245,0.23001299999987168,SUCCESS
dl_mlp,0,123,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.7409599662072746,0.2235200000000077,SUCCESS
dl_mlp,0,2026,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.7683495488824507,0.20116589999997814,SUCCESS
dl_mlp,1,42,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",0.9642857142857143,0.5234331748298892,0.2313788999999815,SUCCESS
dl_mlp,1,123,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.5347400151103666,0.2556782999999996,SUCCESS
dl_mlp,1,2026,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",0.9642857142857143,0.5418184273989747,0.24291119999998045,SUCCESS
dl_autoencoder,0,42,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.8214285714285714,171.87142061202084,0.2440377000002627,SUCCESS
dl_autoencoder,0,123,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.8214285714285714,167.94679600953225,0.26565190000019356,SUCCESS
dl_autoencoder,0,2026,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.8214285714285714,165.30388626689324,0.2622073000002274,SUCCESS
dl_autoencoder,1,42,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.8214285714285714,158.04085755123361,0.2486245999998573,SUCCESS
dl_autoencoder,1,123,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.8214285714285714,156.9756084107782,0.22561810000024707,SUCCESS
dl_autoencoder,1,2026,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.8214285714285714,156.40852771738574,0.2489903000000595,SUCCESS
