algorithm,config_index,seed,params,validation_mrr,threshold,fit_seconds,status
stat_mad,0,42,{'context_weight': 0.0},1.0,11.4321658257577,4.910000006930204e-05,SUCCESS
stat_mad,0,123,{'context_weight': 0.0},1.0,11.4321658257577,3.930000002583256e-05,SUCCESS
stat_mad,0,2026,{'context_weight': 0.0},1.0,11.4321658257577,7.74000000092201e-05,SUCCESS
stat_mad,1,42,{'context_weight': 0.3},1.0,11.4321658257577,2.809999978126143e-05,SUCCESS
stat_mad,1,123,{'context_weight': 0.3},1.0,11.4321658257577,3.969999988839845e-05,SUCCESS
stat_mad,1,2026,{'context_weight': 0.3},1.0,11.4321658257577,5.2599999889935134e-05,SUCCESS
stat_ewma,0,42,{'context_weight': 0.0},1.0,8.98573367429267,5.379999993238016e-05,SUCCESS
stat_ewma,0,123,{'context_weight': 0.0},1.0,8.98573367429267,8.230000003095483e-05,SUCCESS
stat_ewma,0,2026,{'context_weight': 0.0},1.0,8.98573367429267,3.779999997277628e-05,SUCCESS
stat_ewma,1,42,{'context_weight': 0.3},1.0,8.98573367429267,3.349999997226405e-05,SUCCESS
stat_ewma,1,123,{'context_weight': 0.3},1.0,8.98573367429267,6.649999977526022e-05,SUCCESS
stat_ewma,1,2026,{'context_weight': 0.3},1.0,8.98573367429267,4.380000018500141e-05,SUCCESS
ml_logistic,0,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.6971437187082231,0.1160688999998456,SUCCESS
ml_logistic,0,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.8842599926109399,0.09578349999992497,SUCCESS
ml_logistic,0,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.850050284507508,0.12048970000023473,SUCCESS
ml_logistic,1,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.6824779469029651,0.09979629999997996,SUCCESS
ml_logistic,1,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.7655436064545619,0.11205960000006598,SUCCESS
ml_logistic,1,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.7810327423395368,0.09672709999995277,SUCCESS
ml_pca,0,42,{'components': 2},0.7857142857142857,4.803440645493216,0.00037130000009710784,SUCCESS
ml_pca,0,123,{'components': 2},0.7857142857142857,4.803440645493216,0.00030900000001565786,SUCCESS
ml_pca,0,2026,{'components': 2},0.7857142857142857,4.803440645493216,0.0005524999996850966,SUCCESS
ml_pca,1,42,{'components': 4},0.7857142857142857,2.606364742927304,0.00030330000026879134,SUCCESS
ml_pca,1,123,{'components': 4},0.7857142857142857,2.606364742927304,0.00032949999967968324,SUCCESS
ml_pca,1,2026,{'components': 4},0.7857142857142857,2.606364742927304,0.00033059999987017363,SUCCESS
dl_mlp,0,42,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9394710584279536,0.22177769999962038,SUCCESS
dl_mlp,0,123,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.934581438984359,0.22443079999993643,SUCCESS
dl_mlp,0,2026,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9538489247871335,0.21625219999987166,SUCCESS
dl_mlp,1,42,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.8639579440222328,0.2190346999996109,SUCCESS
dl_mlp,1,123,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.8468408657669595,0.23863070000015796,SUCCESS
dl_mlp,1,2026,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.8687370587988835,0.22532000000001062,SUCCESS
dl_autoencoder,0,42,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,82.03594861894064,0.2364956000001257,SUCCESS
dl_autoencoder,0,123,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,84.38186386432997,0.20074569999997038,SUCCESS
dl_autoencoder,0,2026,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,91.79573239141457,0.20225490000029822,SUCCESS
dl_autoencoder,1,42,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,81.31726154342432,0.22893269999985932,SUCCESS
dl_autoencoder,1,123,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,81.43691334012041,0.22667599999977028,SUCCESS
dl_autoencoder,1,2026,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,81.29588330017553,0.20864339999980075,SUCCESS
