algorithm,config_index,seed,params,validation_mrr,threshold,fit_seconds,status
stat_mad,0,42,{'context_weight': 0.0},1.0,11.4321658257577,5.8200000239594374e-05,SUCCESS
stat_mad,0,123,{'context_weight': 0.0},1.0,11.4321658257577,0.00021289999995133257,SUCCESS
stat_mad,0,2026,{'context_weight': 0.0},1.0,11.4321658257577,7.879999975557439e-05,SUCCESS
stat_mad,1,42,{'context_weight': 0.3},1.0,13.377715803069442,2.8900000415887916e-05,SUCCESS
stat_mad,1,123,{'context_weight': 0.3},1.0,13.377715803069442,4.040000021632295e-05,SUCCESS
stat_mad,1,2026,{'context_weight': 0.3},1.0,13.377715803069442,3.509999987727497e-05,SUCCESS
stat_ewma,0,42,{'context_weight': 0.0},1.0,8.98573367429267,4.569999964587623e-05,SUCCESS
stat_ewma,0,123,{'context_weight': 0.0},1.0,8.98573367429267,3.2500000088475645e-05,SUCCESS
stat_ewma,0,2026,{'context_weight': 0.0},1.0,8.98573367429267,3.680000008898787e-05,SUCCESS
stat_ewma,1,42,{'context_weight': 0.3},1.0,11.093198091740616,6.0200000007171184e-05,SUCCESS
stat_ewma,1,123,{'context_weight': 0.3},1.0,11.093198091740616,4.889999991064542e-05,SUCCESS
stat_ewma,1,2026,{'context_weight': 0.3},1.0,11.093198091740616,5.360000022847089e-05,SUCCESS
ml_logistic,0,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.7784902070815217,0.08847349999996368,SUCCESS
ml_logistic,0,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.9037792514138764,0.08671390000017709,SUCCESS
ml_logistic,0,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.8829040425180184,0.08762300000034884,SUCCESS
ml_logistic,1,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.7468071206243271,0.08838299999979427,SUCCESS
ml_logistic,1,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.8049454578306192,0.09598690000029819,SUCCESS
ml_logistic,1,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.8169393831988443,0.09432459999970888,SUCCESS
ml_pca,0,42,{'components': 2},1.0,40.133294462926116,0.0004611000003933441,SUCCESS
ml_pca,0,123,{'components': 2},1.0,40.133294462926116,0.00026879999995799153,SUCCESS
ml_pca,0,2026,{'components': 2},1.0,40.133294462926116,0.0002974999997604755,SUCCESS
ml_pca,1,42,{'components': 4},0.7857142857142857,4.693003122272028,0.00026860000025408226,SUCCESS
ml_pca,1,123,{'components': 4},0.7857142857142857,4.693003122272028,0.0003058999996028433,SUCCESS
ml_pca,1,2026,{'components': 4},0.7857142857142857,4.693003122272028,0.0004217999999127642,SUCCESS
dl_mlp,0,42,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9734134007100258,0.19140779999997903,SUCCESS
dl_mlp,0,123,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9855952049099318,0.18317449999995006,SUCCESS
dl_mlp,0,2026,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9814847693136519,0.20937409999987722,SUCCESS
dl_mlp,1,42,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9279493410501293,0.22514379999984158,SUCCESS
dl_mlp,1,123,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9077622022102371,0.21826069999997344,SUCCESS
dl_mlp,1,2026,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9168425042115679,0.20139319999998406,SUCCESS
dl_autoencoder,0,42,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.8928571428571429,88.50532235211753,0.20875410000007832,SUCCESS
dl_autoencoder,0,123,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,89.90538998733994,0.20870349999995597,SUCCESS
dl_autoencoder,0,2026,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,84.56363519526411,0.2008322000001499,SUCCESS
dl_autoencoder,1,42,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,83.32659551047323,0.20900579999988622,SUCCESS
dl_autoencoder,1,123,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,85.12833514326174,0.2021202999999332,SUCCESS
dl_autoencoder,1,2026,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,84.74365128607005,0.19278780000013285,SUCCESS
