incident_id,group_id,split,t0,cutoff,release
demo-000,demo-000,train,1756684800.0,1756685400.0,r1
demo-001,demo-001,train,1756695600.0,1756696200.0,r1
demo-002,demo-002,train,1756706400.0,1756707000.0,r1
demo-003,demo-003,train,1756717200.0,1756717800.0,r1
demo-004,demo-004,train,1756728000.0,1756728600.0,r1
demo-005,demo-005,train,1756738800.0,1756739400.0,r1
demo-006,demo-006,train,1756749600.0,1756750200.0,r1
demo-007,demo-007,train,1756760400.0,1756761000.0,r1
demo-008,demo-008,train,1756771200.0,1756771800.0,r1
demo-009,demo-009,train,1756782000.0,1756782600.0,r1
demo-010,demo-010,train,1756792800.0,1756793400.0,r1
demo-011,demo-011,train,1756803600.0,1756804200.0,r1
demo-012,demo-012,train,1756814400.0,1756815000.0,r1
demo-013,demo-013,train,1756825200.0,1756825800.0,r1
demo-014,demo-014,train,1756836000.0,1756836600.0,r1
demo-015,demo-015,train,1756846800.0,1756847400.0,r1
demo-016,demo-016,train,1756857600.0,1756858200.0,r1
demo-017,demo-017,train,1756868400.0,1756869000.0,r1
demo-018,demo-018,train,1756879200.0,1756879800.0,r1
demo-019,demo-019,train,1756890000.0,1756890600.0,r1
demo-020,demo-020,train,1756900800.0,1756901400.0,r1
demo-021,demo-021,train,1756911600.0,1756912200.0,r1
demo-022,demo-022,train,1756922400.0,1756923000.0,r1
demo-023,demo-023,train,1756933200.0,1756933800.0,r1
demo-024,demo-024,train,1756944000.0,1756944600.0,r1
demo-025,demo-025,train,1756954800.0,1756955400.0,r1
demo-026,demo-026,train,1756965600.0,1756966200.0,r1
demo-027,demo-027,train,1756976400.0,1756977000.0,r1
demo-028,demo-028,train,1756987200.0,1756987800.0,r1
demo-029,demo-029,train,1756998000.0,1756998600.0,r1
demo-030,demo-030,train,1757008800.0,1757009400.0,r2
demo-031,demo-031,train,1757019600.0,1757020200.0,r2
demo-032,demo-032,train,1757030400.0,1757031000.0,r2
demo-033,demo-033,train,1757041200.0,1757041800.0,r2
demo-034,demo-034,train,1757052000.0,1757052600.0,r2
demo-035,demo-035,train,1757062800.0,1757063400.0,r2
demo-036,demo-036,train,1757073600.0,1757074200.0,r2
demo-037,demo-037,train,1757084400.0,1757085000.0,r2
demo-038,demo-038,train,1757095200.0,1757095800.0,r2
demo-039,demo-039,train,1757106000.0,1757106600.0,r2
demo-040,demo-040,train,1757116800.0,1757117400.0,r2
demo-041,demo-041,train,1757127600.0,1757128200.0,r2
demo-042,demo-042,train,1757138400.0,1757139000.0,r2
demo-043,demo-043,train,1757149200.0,1757149800.0,r2
demo-044,demo-044,train,1757160000.0,1757160600.0,r2
demo-045,demo-045,train,1757170800.0,1757171400.0,r2
demo-046,demo-046,train,1757181600.0,1757182200.0,r2
demo-047,demo-047,train,1757192400.0,1757193000.0,r2
demo-048,demo-048,train,1757203200.0,1757203800.0,r2
demo-049,demo-049,train,1757214000.0,1757214600.0,r2
demo-050,demo-050,train,1757224800.0,1757225400.0,r2
demo-051,demo-051,train,1757235600.0,1757236200.0,r2
demo-052,demo-052,train,1757246400.0,1757247000.0,r2
demo-053,demo-053,train,1757257200.0,1757257800.0,r2
demo-054,demo-054,validation,1757268000.0,1757268600.0,r2
demo-055,demo-055,validation,1757278800.0,1757279400.0,r2
demo-056,demo-056,validation,1757289600.0,1757290200.0,r2
demo-057,demo-057,validation,1757300400.0,1757301000.0,r2
demo-058,demo-058,validation,1757311200.0,1757311800.0,r2
demo-059,demo-059,validation,1757322000.0,1757322600.0,r2
demo-060,demo-060,validation,1757332800.0,1757333400.0,r3
demo-061,demo-061,validation,1757343600.0,1757344200.0,r3
demo-062,demo-062,validation,1757354400.0,1757355000.0,r3
demo-063,demo-063,validation,1757365200.0,1757365800.0,r3
demo-064,demo-064,validation,1757376000.0,1757376600.0,r3
demo-065,demo-065,validation,1757386800.0,1757387400.0,r3
demo-066,demo-066,validation,1757397600.0,1757398200.0,r3
demo-067,demo-067,validation,1757408400.0,1757409000.0,r3
demo-068,demo-068,validation,1757419200.0,1757419800.0,r3
demo-069,demo-069,validation,1757430000.0,1757430600.0,r3
demo-070,demo-070,validation,1757440800.0,1757441400.0,r3
demo-071,demo-071,validation,1757451600.0,1757452200.0,r3
demo-072,demo-072,test,1757462400.0,1757463000.0,r3
demo-073,demo-073,test,1757473200.0,1757473800.0,r3
demo-074,demo-074,test,1757484000.0,1757484600.0,r3
demo-075,demo-075,test,1757494800.0,1757495400.0,r3
demo-076,demo-076,test,1757505600.0,1757506200.0,r3
demo-077,demo-077,test,1757516400.0,1757517000.0,r3
demo-078,demo-078,test,1757527200.0,1757527800.0,r3
demo-079,demo-079,test,1757538000.0,1757538600.0,r3
demo-080,demo-080,test,1757548800.0,1757549400.0,r3
demo-081,demo-081,test,1757559600.0,1757560200.0,r3
demo-082,demo-082,test,1757570400.0,1757571000.0,r3
demo-083,demo-083,test,1757581200.0,1757581800.0,r3
demo-084,demo-084,test,1757592000.0,1757592600.0,r3
demo-085,demo-085,test,1757602800.0,1757603400.0,r3
demo-086,demo-086,test,1757613600.0,1757614200.0,r3
demo-087,demo-087,test,1757624400.0,1757625000.0,r3
demo-088,demo-088,test,1757635200.0,1757635800.0,r3
demo-089,demo-089,test,1757646000.0,1757646600.0,r3
