algorithm,config_index,seed,params,validation_mrr,threshold,fit_seconds,status
stat_mad,0,42,{'context_weight': 0.0},1.0,11.4321658257577,0.00024499999994986865,SUCCESS
stat_mad,0,123,{'context_weight': 0.0},1.0,11.4321658257577,0.0002240000001165754,SUCCESS
stat_mad,0,2026,{'context_weight': 0.0},1.0,11.4321658257577,0.00014310000005934853,SUCCESS
stat_mad,1,42,{'context_weight': 0.3},1.0,13.377715803069442,0.00021369999990383803,SUCCESS
stat_mad,1,123,{'context_weight': 0.3},1.0,13.377715803069442,0.00022319999993669626,SUCCESS
stat_mad,1,2026,{'context_weight': 0.3},1.0,13.377715803069442,0.00015189999999165593,SUCCESS
stat_ewma,0,42,{'context_weight': 0.0},1.0,8.98573367429267,0.0001938000000336615,SUCCESS
stat_ewma,0,123,{'context_weight': 0.0},1.0,8.98573367429267,0.0002222999999048625,SUCCESS
stat_ewma,0,2026,{'context_weight': 0.0},1.0,8.98573367429267,0.00018089999980475113,SUCCESS
stat_ewma,1,42,{'context_weight': 0.3},1.0,11.093198091740616,0.00010929999984909955,SUCCESS
stat_ewma,1,123,{'context_weight': 0.3},1.0,11.093198091740616,0.00011670000003505265,SUCCESS
stat_ewma,1,2026,{'context_weight': 0.3},1.0,11.093198091740616,0.00013080000007903436,SUCCESS
ml_logistic,0,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.7784902070815217,0.5253055000000586,SUCCESS
ml_logistic,0,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.9037792514138764,0.4887426999998752,SUCCESS
ml_logistic,0,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.001}",1.0,0.8829040425180184,0.5350740999999744,SUCCESS
ml_logistic,1,42,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.7468071206243271,0.5075170000000071,SUCCESS
ml_logistic,1,123,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.8049454578306192,0.5499134000001504,SUCCESS
ml_logistic,1,2026,"{'lr': 0.02, 'epochs': 250, 'l2': 0.03}",1.0,0.8169393831988443,0.5076447000001281,SUCCESS
ml_pca,0,42,{'components': 2},1.0,40.133294462926116,0.0016557000001284905,SUCCESS
ml_pca,0,123,{'components': 2},1.0,40.133294462926116,0.001044999999976426,SUCCESS
ml_pca,0,2026,{'components': 2},1.0,40.133294462926116,0.0011269999999967695,SUCCESS
ml_pca,1,42,{'components': 4},0.7857142857142857,4.693003122272028,0.001188199999887729,SUCCESS
ml_pca,1,123,{'components': 4},0.7857142857142857,4.693003122272028,0.0011858000000302127,SUCCESS
ml_pca,1,2026,{'components': 4},0.7857142857142857,4.693003122272028,0.0011798000000453612,SUCCESS
dl_mlp,0,42,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9734134007100258,1.1955259999999726,SUCCESS
dl_mlp,0,123,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9855952049099318,1.2031186000001526,SUCCESS
dl_mlp,0,2026,"{'hidden': [16, 8], 'lr': 0.01, 'epochs': 180, 'l2': 0.001}",1.0,0.9814847693136519,1.1424226999999973,SUCCESS
dl_mlp,1,42,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9279493410501293,1.44688629999996,SUCCESS
dl_mlp,1,123,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9077622022102371,1.375586999999996,SUCCESS
dl_mlp,1,2026,"{'hidden': [32, 16], 'lr': 0.005, 'epochs': 180, 'l2': 0.01}",1.0,0.9168425042115679,1.360260100000005,SUCCESS
dl_autoencoder,0,42,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.8928571428571429,88.50532235211753,1.2104675000000498,SUCCESS
dl_autoencoder,0,123,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,89.90538998733994,1.1765806999999313,SUCCESS
dl_autoencoder,0,2026,"{'hidden': [16, 4, 16], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,84.56363519526411,1.1746250000001055,SUCCESS
dl_autoencoder,1,42,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,83.32659551047323,1.2251796000000468,SUCCESS
dl_autoencoder,1,123,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,85.12833514326174,1.2624611000001096,SUCCESS
dl_autoencoder,1,2026,"{'hidden': [24, 8, 24], 'lr': 0.005, 'epochs': 180}",0.9285714285714286,84.74365128607005,1.2531166999999641,SUCCESS
